feature,value,prediction
days_since_2011,8.3,2732.863736758567
days_since_2011,20.425423728813563,2759.8868413235023
days_since_2011,32.55084745762712,2779.4749422492546
days_since_2011,44.67627118644069,2824.8083059403525
days_since_2011,56.801694915254245,2864.8832718364565
days_since_2011,68.9271186440678,2882.863540415211
days_since_2011,81.05254237288136,2937.569258688787
days_since_2011,93.17796610169492,2999.260058630346
days_since_2011,105.30338983050848,3118.859994913428
days_since_2011,117.42881355932204,3563.2603678029786
days_since_2011,129.5542372881356,3615.1536449055498
days_since_2011,141.67966101694918,3643.14282185006
days_since_2011,153.80508474576274,3647.279957453235
days_since_2011,165.9305084745763,3655.1777592667268
days_since_2011,178.05593220338986,3660.3457827000598
days_since_2011,190.18135593220342,3660.0102967420767
days_since_2011,202.30677966101698,3654.450274705424
days_since_2011,214.43220338983053,3663.8502720387573
days_since_2011,226.5576271186441,3664.6520334846446
days_since_2011,238.68305084745765,3679.298641329883
days_since_2011,250.8084745762712,3681.734908211196
days_since_2011,262.93389830508477,3685.1253726727346
days_since_2011,275.05932203389835,3712.469008712417
days_since_2011,287.1847457627119,3707.131547659109
days_since_2011,299.31016949152547,3667.753915637131
days_since_2011,311.435593220339,3649.1457614563947
days_since_2011,323.5610169491526,3586.4408355218707
days_since_2011,335.6864406779661,3589.0222997857595
days_since_2011,347.8118644067797,3582.647579593452
days_since_2011,359.93728813559323,3557.287848450595
days_since_2011,372.0627118644068,3782.9046615485317
days_since_2011,384.18813559322035,3852.7959209162427
days_since_2011,396.31355932203394,3988.0512154408625
days_since_2011,408.4389830508475,4255.237275898183
days_since_2011,420.56440677966106,4281.451951978769
days_since_2011,432.68983050847464,4672.058621392816
days_since_2011,444.8152542372882,5201.217427894646
days_since_2011,456.94067796610176,5270.215512667786
days_since_2011,469.0661016949153,5283.731468803012
days_since_2011,481.1915254237289,5276.7411119999815
days_since_2011,493.3169491525424,5303.225928090197
days_since_2011,505.442372881356,5394.364210228753
days_since_2011,517.5677966101695,5416.172447968814
days_since_2011,529.693220338983,5464.468438667226
days_since_2011,541.8186440677966,5459.492775813181
days_since_2011,553.9440677966102,5467.079024499689
days_since_2011,566.0694915254237,5494.448272285403
days_since_2011,578.1949152542372,5538.398405585603
days_since_2011,590.3203389830509,5489.4813473369195
days_since_2011,602.4457627118644,5530.455410052189
days_since_2011,614.5711864406779,5562.05346316309
days_since_2011,626.6966101694916,5616.562186515669
days_since_2011,638.8220338983051,5612.208486455231
days_since_2011,650.9474576271186,5623.201233526659
days_since_2011,663.0728813559322,5613.302602943326
days_since_2011,675.1983050847458,5363.091257631277
days_since_2011,687.3237288135593,5316.221173591594
days_since_2011,699.4491525423729,5283.238766298304
days_since_2011,711.5745762711864,5271.804352131638
days_since_2011,723.7,4842.7656323630445
temp,0.1460436,3065.4900571259486
temp,0.1575682847457627,3066.903481816425
temp,0.1690929694915254,3067.2706896497584
temp,0.18061765423728815,3075.203504265143
temp,0.19214233898305086,3087.94471758116
temp,0.20366702372881357,3091.1998682002077
temp,0.2151917084745763,3103.520651533541
temp,0.226716393220339,3123.1945688430646
temp,0.23824107796610172,3142.873886348559
temp,0.24976576271186443,3159.0814710815744
temp,0.26129044745762714,3242.2971402055064
temp,0.2728151322033899,3296.077334904641
temp,0.28433981694915256,3503.9254850809248
temp,0.2958645016949153,3536.3588928706076
temp,0.30738918644067803,3539.437202447659
temp,0.31891387118644077,3575.439821467861
temp,0.33043855593220345,3607.5450463718735
temp,0.34196324067796613,3648.1022860951334
temp,0.35348792542372887,3694.1766971892894
temp,0.3650126101694916,3711.378972208659
temp,0.37653729491525434,3724.8647516011556
temp,0.388061979661017,3860.574742151765
temp,0.39958666440677976,3901.461879983465
temp,0.41111134915254244,3926.7796147188133
temp,0.4226360338983052,4116.007481376906
temp,0.4341607186440679,4306.529489076855
temp,0.4456854033898306,4433.754057594866
temp,0.45721008813559333,4544.267249939816
temp,0.46873477288135607,4737.32641324711
temp,0.48025945762711875,4803.108609781453
temp,0.4917841423728815,4826.047292167333
temp,0.5033088271186441,4850.332970177389
temp,0.514833511864407,4931.059517504971
temp,0.5263581966101696,4973.31562746132
temp,0.5378828813559323,4982.005137818463
temp,0.549407566101695,5010.022451597095
temp,0.5609322508474577,5014.3517046387615
temp,0.5724569355932205,5010.351344495904
temp,0.5839816203389832,5022.826856273682
temp,0.5955063050847459,5030.961551081375
temp,0.6070309898305086,5051.675417142553
temp,0.6185556745762714,5046.747715809219
temp,0.6300803593220341,5044.244777871343
temp,0.6416050440677967,5051.981829158861
temp,0.6531297288135596,5044.020313969678
temp,0.6646544135593222,5047.236065842083
temp,0.6761790983050848,5036.8795848182735
temp,0.6877037830508477,5033.896459929385
temp,0.6992284677966103,5025.510730522818
temp,0.7107531525423731,5013.384898863645
temp,0.7222778372881358,5010.491638557234
temp,0.7338025220338984,4984.469645193362
temp,0.7453272067796612,4957.250880966322
temp,0.7568518915254239,4938.247131275846
temp,0.7683765762711867,4866.040961101243
temp,0.7799012610169493,4858.524273307592
temp,0.7914259457627122,4831.003748098186
temp,0.8029506305084748,4797.61716147014
temp,0.8144753152542374,4745.877235205452
temp,0.8260000000000003,4698.23062966865
hum,0.3121251,4461.272056091011
hum,0.3225622491525424,4464.58514461482
hum,0.33299939830508474,4471.294631781487
hum,0.34343654745762714,4477.985072281487
hum,0.3538736966101695,4483.50865161482
hum,0.3643108457627119,4485.681479225931
hum,0.37474799491525423,4483.281646225932
hum,0.38518514406779664,4481.114677559265
hum,0.395622293220339,4482.065722922901
hum,0.4060594423728814,4481.096738589568
hum,0.41649659152542373,4476.413266781876
hum,0.42693374067796613,4472.994337948542
hum,0.43737088983050854,4479.1812651577775
hum,0.4478080389830509,4486.474052443492
hum,0.45824518813559323,4485.636742313761
hum,0.46868233728813563,4476.840224904404
hum,0.47911948644067803,4483.591035853899
hum,0.4895566355932204,4486.263428603273
hum,0.4999937847457627,4490.2630999291005
hum,0.5104309338983051,4485.55923796488
hum,0.5208680830508475,4482.695442035642
hum,0.5313052322033899,4475.921189801923
hum,0.5417423813559322,4469.615370453438
hum,0.5521795305084747,4464.259318320802
hum,0.562616679661017,4456.785397781119
hum,0.5730538288135594,4450.914793651249
hum,0.5834909779661017,4456.246447378882
hum,0.5939281271186441,4454.65675741746
hum,0.6043652762711865,4449.546576494864
hum,0.6148024254237289,4446.085650205182
hum,0.6252395745762713,4441.386225011042
hum,0.6356767237288137,4428.393799248055
hum,0.646113872881356,4413.731505820757
hum,0.6565510220338984,4385.847129984547
hum,0.6669881711864407,4377.485717019843
hum,0.6774253203389832,4356.321347843373
hum,0.6878624694915255,4326.654177400981
hum,0.698299618644068,4316.589840656476
hum,0.7087367677966103,4267.5599940156435
hum,0.7191739169491527,4277.832129249452
hum,0.729611066101695,4264.927081510302
hum,0.7400482152542374,4241.98178455251
hum,0.7504853644067797,4185.11683087602
hum,0.7609225135593222,4152.740799233995
hum,0.7713596627118645,4108.388317466596
hum,0.781796811864407,4051.6456014799437
hum,0.7922339610169493,4042.4211427408377
hum,0.8026711101694917,4035.3699848818637
hum,0.813108259322034,3962.4949860546817
hum,0.8235454084745764,3912.963501807112
hum,0.8339825576271187,3871.0058349017772
hum,0.8444197067796613,3842.914115206357
hum,0.8548568559322036,3744.4019486111188
hum,0.865294005084746,3725.9682086792172
hum,0.8757311542372883,3698.772558975627
hum,0.8861683033898307,3684.470511355081
hum,0.896605452542373,3658.048208685092
hum,0.9070426016949154,3626.156743830113
hum,0.9174797508474577,3587.3402974253513
hum,0.9279169000000003,3540.1597159509924
windspeed,0.05297346,4426.366576169868
windspeed,0.059001913220338986,4475.976312595724
windspeed,0.06503036644067797,4468.601239095724
windspeed,0.07105881966101696,4466.30421826239
windspeed,0.07708727288135594,4464.2240987862
windspeed,0.08311572610169493,4463.940696405248
windspeed,0.0891441793220339,4453.179000097251
windspeed,0.09517263254237289,4450.39800015302
windspeed,0.10120108576271188,4447.019717721784
windspeed,0.10722953898305086,4439.371283538235
windspeed,0.11325799220338985,4427.850633768393
windspeed,0.11928644542372883,4408.834603359672
