dataset,target,n_training,n_pdp_sample,trees,oob_mse,oob_rmse,oob_r2
Bike rentals,cnt,731,50,500,395133.941879839,628.5968039052052,0.8947092348543074
House prices,price,1500,1500,500,52775268207.25884,229728.68390181242,0.5564732953517268
