dataset,feature,min_prediction,value_at_min,max_prediction,value_at_max,first_grid_prediction,last_grid_prediction,edge_delta
Bike rentals,days_since_2011,2700.614493006709,8.3,5580.653265290978,650.9474576271186,2700.614493006709,4787.108540999159,2086.4940479924503
Bike rentals,hum,3478.636503772354,0.9279169000000003,4428.830972446841,0.4999937847457627,4392.47108376191,3478.636503772354,-913.8345799895565
Bike rentals,temp,3073.1440153699677,0.1460436,4975.727315259899,0.6416050440677967,3073.1440153699677,4684.885386623638,1611.74137125367
Bike rentals,windspeed,3779.6301986291132,0.3785099338983051,4423.880020560753,0.059001913220338986,4374.420792664346,3789.4328628855233,-584.9879297788225
House prices,bathrooms,508292.6377524201,1,711437.5767260706,4.25,508292.6377524201,711437.5767260706,203144.9389736505
House prices,bedrooms,544347.4396401929,4,568957.6021916375,2,568957.6021916375,546613.7755610286,-22343.826630608877
House prices,floors,543192.2766295573,1,625144.9508733976,3,543192.2766295573,625144.9508733976,81952.67424384039
House prices,sqft_living,346041.4307451336,783.4830508474577,1829694.6772069896,5051.299999999998,350422.47373080027,1829694.6772069896,1479272.2034761894
