temp_c,hum_pct,prediction
5.9877876,31.21251,3116.382377484294
7.9790884857142865,31.21251,3143.7599335096024
9.970389371428574,31.21251,3213.3843793936067
11.961690257142859,31.21251,3592.338079927837
13.952991142857147,31.21251,3715.5755361423953
15.944292028571432,31.21251,3958.2633412373148
17.93559291428572,31.21251,4400.439727153097
19.926893800000006,31.21251,4888.003188904985
21.918194685714294,31.21251,5068.941742871747
23.909495571428582,31.21251,5118.251304901051
25.900796457142867,31.21251,5142.377020089224
27.892097342857152,31.21251,5130.0803422608105
29.88339822857144,31.21251,5101.412569258685
31.87469911428573,31.21251,4971.225445304621
33.866000000000014,31.21251,4815.009504081471
5.9877876,35.611022857142856,3129.6939594842943
7.9790884857142865,35.611022857142856,3156.9454275096023
9.970389371428574,35.611022857142856,3226.8225773936065
11.961690257142859,35.611022857142856,3609.613967927837
13.952991142857147,35.611022857142856,3734.5267614757286
15.944292028571432,35.611022857142856,3980.502005237315
17.93559291428572,35.611022857142856,4421.263471819763
19.926893800000006,35.611022857142856,4911.631968238319
21.918194685714294,35.611022857142856,5092.087676871747
23.909495571428582,35.611022857142856,5141.464268901052
25.900796457142867,35.611022857142856,5166.270216089224
27.892097342857152,35.611022857142856,5153.044316927478
29.88339822857144,35.611022857142856,5123.875490592018
31.87469911428573,35.611022857142856,4988.27951330462
33.866000000000014,35.611022857142856,4828.210458748138
5.9877876,40.00953571428572,3123.975848635809
7.9790884857142865,40.00953571428572,3150.951348661117
9.970389371428574,40.00953571428572,3224.828998545122
11.961690257142859,40.00953571428572,3609.1225917460188
13.952991142857147,40.00953571428572,3736.087285960577
15.944292028571432,40.00953571428572,3983.074113055497
17.93559291428572,40.00953571428572,4423.881751637946
19.926893800000006,40.00953571428572,4916.282304151739
21.918194685714294,40.00953571428572,5090.508058118501
23.909495571428582,40.00953571428572,5137.440606147805
25.900796457142867,40.00953571428572,5162.070584669311
27.892097342857152,40.00953571428572,5148.954117507565
29.88339822857144,40.00953571428572,5118.828722505438
31.87469911428573,40.00953571428572,4984.08918521804
33.866000000000014,40.00953571428572,4824.621992661558
5.9877876,44.40804857142858,3114.1703815881897
7.9790884857142865,44.40804857142858,3143.3436313912757
9.970389371428574,44.40804857142858,3218.319314830836
11.961690257142859,44.40804857142858,3609.9962343174475
13.952991142857147,44.40804857142858,3739.4428805320053
15.944292028571432,44.40804857142858,3978.7701326745446
17.93559291428572,44.40804857142858,4416.541830876041
19.926893800000006,44.40804857142858,4921.1597608696875
21.918194685714294,44.40804857142858,5099.18508083645
23.909495571428582,44.40804857142858,5144.38233553242
25.900796457142867,44.40804857142858,5166.425450053926
27.892097342857152,44.40804857142858,5155.34199889218
29.88339822857144,44.40804857142858,5124.405993223387
31.87469911428573,44.40804857142858,4986.0821152693225
33.866000000000014,44.40804857142858,4825.751614046173
5.9877876,48.806561428571435,3131.9510202192782
7.9790884857142865,48.806561428571435,3160.571802022364
9.970389371428574,48.806561428571435,3233.3940489857337
11.961690257142859,48.806561428571435,3631.7306235834562
13.952991142857147,48.806561428571435,3762.8459197778125
15.944292028571432,48.806561428571435,3998.633892396542
17.93559291428572,48.806561428571435,4422.130908265541
19.926893800000006,48.806561428571435,4935.263570354426
21.918194685714294,48.806561428571435,5109.856478321188
23.909495571428582,48.806561428571435,5155.901089239381
25.900796457142867,48.806561428571435,5176.245347316441
27.892097342857152,48.806561428571435,5158.652311488028
29.88339822857144,48.806561428571435,5131.411524485902
31.87469911428573,48.806561428571435,4989.481045452473
33.866000000000014,48.806561428571435,4812.497127562657
5.9877876,53.20507428571429,3164.8351927501603
7.9790884857142865,53.20507428571429,3187.64709988658
